"TIME","Error cuantizacion","Diente de sierra","VDAC"
0.0006687136758,0.0922559,1.30323,1.21094
0.0006692427329,0.0932691,1.30424,1.21094
0.0006766495319,0.107451,1.31841,1.21094
0.0007020442712,0.156035,1.36701,1.21094
0.000718910001,0.188267,1.39924,1.21094
0.000718912001,0.0906149,1.39924,1.30859
0.0007189324666,0.090654,1.39928,1.30859
0.0007189741112,0.0907336,1.39936,1.30859
0.0007194918677,0.0917226,1.40035,1.30859
0.0007200178426,0.0927273,1.40136,1.30859
0.0007273814907,0.106791,1.41541,1.30859
0.0007526282843,0.154968,1.4636,1.30859
0.000769691251,0.187494,1.49612,1.30859
0.000769693251,0.0898417,1.49613,1.40625
0.0007697135399,0.0898804,1.49617,1.40625
0.0007697553257,0.08996,1.49625,1.40625
0.0007702686109,0.090938,1.49722,1.40625
0.0007707900435,0.0919315,1.49822,1.40625
0.0007780901001,0.105838,1.51212,1.40625
0.0008031188656,0.153477,1.55977,1.40625
0.000820472501,0.186473,1.59276,1.40625
0.000820474501,0.0888205,1.59277,1.5039
0.0008204945565,0.0888586,1.5928,1.5039
0.0008205365288,0.0889384,1.59288,1.5039
0.0008210439101,0.0899027,1.59385,1.5039
0.0008215593449,0.0908822,1.59483,1.5039
0.0008287754334,0.104593,1.60853,1.5039
0.0008535163083,0.151565,1.65551,1.5039
0.000871253751,0.185204,1.68915,1.5039
0.000871255751,0.107083,1.68916,1.58203
0.000871285964,0.10714,1.68921,1.58203
0.0008713228515,0.10721,1.68928,1.58203
0.0008716989624,0.107923,1.69,1.58203
0.0008720872059,0.108659,1.69073,1.58203
0.0008837345124,0.130731,1.71278,1.58203
0.000921005893,0.201274,1.78335,1.58203
0.000922035001,0.20322,1.7853,1.58203
0.000922037001,0.105568,1.7853,1.67969
0.0009220608915,0.105613,1.78534,1.67969
0.0009220997988,0.105687,1.78542,1.67969
0.0009227041993,0.106829,1.78656,1.67969
0.0009233181935,0.10799,1.78772,1.67969
0.0009319141115,0.124239,1.80396,1.67969
0.0009613858305,0.179895,1.85963,1.67969
0.000972816251,0.201459,1.88119,1.67969
0.000972818251,0.103806,1.8812,1.77734
0.0009728417374,0.103851,1.88124,1.77734
0.0009728809677,0.103925,1.88131,1.77734
0.000973475145,0.105045,1.88244,1.77734
0.0009740787536,0.106184,1.88357,1.77734
0.0009825292748,0.122117,1.8995,1.77734
0.00101150249,0.176692,1.95408,1.77734
0.001023597501,0.199452,1.97684,1.77734
0.001023599501,0.1018,1.97685,1.875
0.001023622527,0.101843,1.97689,1.875
0.001023662125,0.101917,1.97697,1.875
0.00102424466,0.103013,1.97806,1.875
0.001024836442,0.104126,1.97917,1.875
0.001033121381,0.119707,1.99475,1.875
0.001061526889,0.173078,2.04813,1.875
0.001074378751,0.1972,2.07225,1.875
0.001074380751,0.0995479,2.07225,1.97265
0.001074403261,0.0995902,2.0723,1.97265
0.001074443272,0.0996652,2.07237,1.97265
0.001075012751,0.100734,2.07344,1.97265
0.001075591269,0.101819,2.07453,1.97265
0.001083690525,0.117012,2.08971,1.97265
0.001111459403,0.169054,2.14176,1.97265
0.001125160001,0.194704,2.16741,1.97265
0.001125162001,0.097052,2.16742,2.07031
0.001125183939,0.0970931,2.16746,2.07031
0.001125224407,0.0971688,2.16753,2.07031
0.001125779423,0.0982075,2.16857,2.07031
0.001126343248,0.0992627,2.16963,2.07031
0.001134236803,0.114032,2.18439,2.07031
0.001161300422,0.164624,2.23499,2.07031
0.001175941251,0.191965,2.26233,2.07031
0.001175943251,0.0943125,2.26234,2.16797
0.001175964562,0.0943523,2.26238,2.16797
0.001176005531,0.0944287,2.26245,2.16797
0.001176544682,0.0954352,2.26346,2.16797
0.001177092391,0.0964575,2.26448,2.16797
0.00118476032,0.110768,2.27878,2.16797
0.001211050362,0.15979,2.32782,2.16797
0.001226722501,0.188982,2.35701,2.16797
0.001226724501,0.09133,2.35701,2.26562
0.00122674513,0.0913684,2.35705,2.26562
0.001226786644,0.0914457,2.35713,2.26562
0.001227308536,0.0924174,2.3581,2.26562
0.001227838713,0.0934045,2.35909,2.26562
0.001235261182,0.107221,2.3729,2.26562
0.001260709648,0.154554,2.42024,2.26562
0.001277503751,0.185757,2.45144,2.26562
0.001277505751,0.107636,2.45145,2.34375
0.001277536122,0.107693,2.4515,2.34375
0.001277572899,0.107761,2.45157,2.34375
0.001277950981,0.108463,2.45227,2.34375
0.001278341259,0.109188,2.453,2.34375
0.0012900496,0.130925,2.47472,2.34375
0.001327516293,0.200398,2.54421,2.34375
0.001328285001,0.201822,2.54563,2.34375
0.001328287001,0.10417,2.54564,2.4414
0.001328310571,0.104213,2.54568,2.4414
0.001328349734,0.104286,2.54575,2.4414
0.001328946019,0.10539,2.54686,2.4414
0.001329551768,0.106512,2.54798,2.4414
0.001346035521,0.137033,2.5785,2.4414
0.001346486901,0.137868,2.57934,2.4414
0.001355526258,0.154594,2.59606,2.4414
0.001364709097,0.171577,2.61305,2.4414
0.001379066251,0.198114,2.63959,2.4414
0.001379068251,0.100462,2.63959,2.53906
0.001379090971,0.100504,2.63963,2.53906
0.001379130814,0.100577,2.6397,2.53906
0.001379705591,0.101639,2.64077,2.53906
0.001380289491,0.102718,2.64185,2.53906
0.001388464099,0.117818,2.65694,2.53906
0.001416491326,0.169543,2.70867,2.53906
0.001429847501,0.194166,2.7333,2.53906
0.001429849501,0.0965136,2.7333,2.63672
0.001429871316,0.0965538,2.73334,2.63672
0.001429911882,0.0966285,2.73341,2.63672
0.001430463779,0.0976456,2.73443,2.63672
0.001431024436,0.0986788,2.73546,2.63672
0.001438873632,0.113141,2.74992,2.63672
0.001465785164,0.162681,2.79947,2.63672
0.001480628751,0.189978,2.82677,2.63672
0.001480630751,0.0923254,2.82677,2.73437
0.001480651608,0.0923637,2.82681,2.73437
