"TIME","U1(OUT1)","U1(OUT2)","U1(OUT3)","U1(OUT4)","U1(OUT5)","U1(OUT6)","U1(OUT7)","U1(OUT8)"
0.00660088125,"SLO","SHI","SHI","SLO","SHI","SHI","SLO","SLO"
0.0066516625,"SLO","SHI","SHI","SHI","SLO","SLO","SLO","SHI"
0.00670244375,"SLO","SHI","SHI","SHI","SLO","SHI","SHI","SLO"
0.006753225,"SLO","SHI","SHI","SHI","SHI","SLO","SHI","SHI"
0.00680400625,"SHI","SLO","SLO","SLO","SLO","SLO","SLO","SLO"
0.0068547875,"SHI","SLO","SLO","SLO","SLO","SHI","SLO","SLO"
0.00690556875,"SHI","SLO","SLO","SLO","SHI","SLO","SLO","SHI"
0.00695635,"SHI","SLO","SLO","SLO","SHI","SHI","SHI","SLO"
0.00700713125,"SHI","SLO","SLO","SHI","SLO","SLO","SHI","SHI"
0.0070579125,"SHI","SLO","SLO","SHI","SLO","SHI","SHI","SHI"
0.00710869375,"SHI","SLO","SLO","SHI","SHI","SHI","SLO","SLO"
0.007159475,"SHI","SLO","SHI","SLO","SLO","SLO","SLO","SHI"
0.00721025625,"SHI","SLO","SHI","SLO","SLO","SHI","SHI","SLO"
0.0072610375,"SHI","SLO","SHI","SLO","SHI","SLO","SHI","SLO"
0.00731181875,"SHI","SLO","SHI","SLO","SHI","SHI","SHI","SHI"
0.0073626,"SHI","SLO","SHI","SHI","SLO","SHI","SLO","SLO"
0.00741338125,"SHI","SLO","SHI","SHI","SHI","SLO","SLO","SLO"
0.0074641625,"SHI","SLO","SHI","SHI","SHI","SHI","SLO","SHI"
0.00751494375,"SHI","SHI","SLO","SLO","SLO","SLO","SHI","SLO"
0.007565725,"SHI","SHI","SLO","SLO","SLO","SHI","SHI","SLO"
0.00761650625,"SHI","SHI","SLO","SLO","SHI","SLO","SHI","SHI"
0.0076672875,"SHI","SHI","SLO","SHI","SLO","SLO","SLO","SLO"
0.00771806875,"SHI","SHI","SLO","SHI","SLO","SHI","SLO","SLO"
0.00776885,"SHI","SHI","SLO","SHI","SHI","SLO","SLO","SHI"
0.00781963125,"SHI","SHI","SLO","SHI","SHI","SHI","SLO","SHI"
0.0078704125,"SHI","SHI","SHI","SLO","SLO","SLO","SHI","SLO"
0.00792119375,"SHI","SHI","SHI","SLO","SLO","SHI","SHI","SLO"
0.007971975,"SHI","SHI","SHI","SLO","SHI","SLO","SHI","SHI"
0.00802275625,"SHI","SHI","SHI","SLO","SHI","SHI","SHI","SHI"
0.0080735375,"SHI","SHI","SHI","SHI","SLO","SHI","SLO","SLO"
0.00812431875,"SHI","SHI","SHI","SHI","SHI","SLO","SLO","SLO"
0.0081751,"SHI","SHI","SHI","SHI","SHI","SHI","SLO","SHI"
0.00822588125,"SHI","SHI","SLO","SHI","SHI","SLO","SHI","SHI"
0.0082766625,"SLO","SLO","SLO","SLO","SLO","SHI","SLO","SHI"
0.00832744375,"SLO","SLO","SLO","SLO","SHI","SLO","SHI","SHI"
0.008378225,"SLO","SLO","SLO","SHI","SLO","SLO","SLO","SLO"
0.00842900625,"SLO","SLO","SLO","SHI","SLO","SHI","SLO","SHI"
0.0084797875,"SLO","SLO","SLO","SHI","SHI","SLO","SHI","SLO"
0.00853056875,"SLO","SLO","SLO","SHI","SHI","SHI","SHI","SHI"
0.00858135,"SLO","SLO","SHI","SLO","SLO","SHI","SLO","SLO"
0.00863213125,"SLO","SLO","SHI","SLO","SHI","SLO","SLO","SHI"
0.0086829125,"SLO","SLO","SHI","SLO","SHI","SHI","SHI","SLO"
0.00873369375,"SLO","SLO","SHI","SHI","SLO","SLO","SHI","SHI"
0.008784475,"SLO","SLO","SHI","SHI","SHI","SLO","SLO","SLO"
0.00883525625,"SLO","SLO","SHI","SHI","SHI","SHI","SLO","SHI"
0.0088860375,"SLO","SHI","SLO","SLO","SLO","SLO","SHI","SLO"
0.00893681875,"SLO","SHI","SLO","SLO","SLO","SHI","SHI","SHI"
0.0089876,"SLO","SHI","SLO","SLO","SHI","SHI","SLO","SLO"
0.00903838125,"SLO","SHI","SLO","SHI","SLO","SLO","SLO","SHI"
0.0090891625,"SLO","SHI","SLO","SHI","SLO","SHI","SHI","SLO"
0.00913994375,"SLO","SHI","SLO","SHI","SHI","SLO","SHI","SHI"
0.009190725,"SLO","SHI","SLO","SHI","SHI","SHI","SHI","SHI"
0.00924150625,"SLO","SHI","SHI","SLO","SLO","SHI","SLO","SLO"
0.0092922875,"SLO","SHI","SHI","SLO","SHI","SLO","SLO","SHI"
0.00934306875,"SLO","SHI","SHI","SLO","SHI","SHI","SHI","SLO"
0.00939385,"SLO","SHI","SHI","SHI","SLO","SLO","SHI","SHI"
0.00944463125,"SLO","SHI","SHI","SHI","SHI","SLO","SLO","SLO"
0.0094954125,"SLO","SHI","SHI","SHI","SHI","SHI","SLO","SHI"
0.00954619375,"SHI","SLO","SLO","SLO","SLO","SLO","SLO","SHI"
0.009596975,"SHI","SLO","SLO","SLO","SLO","SHI","SHI","SLO"
0.00964775625,"SHI","SLO","SLO","SLO","SHI","SLO","SHI","SHI"
0.0096985375,"SHI","SLO","SLO","SHI","SLO","SLO","SLO","SLO"
0.00974931875,"SHI","SLO","SLO","SHI","SLO","SHI","SLO","SLO"
0.0098001,"SHI","SLO","SLO","SHI","SHI","SLO","SLO","SHI"
0.00985088125,"SHI","SLO","SLO","SHI","SHI","SHI","SHI","SLO"
0.0099016625,"SHI","SLO","SHI","SLO","SLO","SLO","SHI","SHI"
0.00995244375,"SHI","SLO","SHI","SLO","SLO","SHI","SHI","SHI"
0.01,"SHI","SLO","SHI","SLO","SLO","SHI","SHI","SHI"
